|6.6.6
gloss1db_1.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          26
node#          P(bar)         T(K)           Stlp           Omph(GHP)      Omph(GHP)      clin           ab             san            q              stlb           cc             pyr            gph            Mica(CF)       Pu             law            arag           COH-Fluid+     Do(HP)         diam           M(HP)          coe            Grt(JH)        ky             stv           
  613.000        61201.0        1040.57        55.2194        51.3389                 NaN   52.0645        55.2194        52.0645        55.2194        55.2194        52.0645        52.0645        33.8920        33.8920        51.3389        55.2194        55.2194        100.000        15.9992        86.4939        15.9992        86.4836        13.9745        55.2194                 NaN
  614.000        61301.0        1040.96        55.2222        51.3432                 NaN   52.0689        55.2222        52.0689        55.2222        55.2222        52.0689        52.0689        33.8952        33.8952        51.3432        55.2222        55.2222        100.000        16.0021        86.4982        16.0021        86.4879        13.9759        55.2222                 NaN
  615.000        61401.0        1041.36        55.2244        51.3433                 NaN   52.0691        55.2244        52.0691        55.2244        55.2244        52.0691        52.0691        33.8941        33.8941        51.3433        55.2244        55.2244        100.000        16.0009        86.5026        16.0009        86.4922        13.9762        55.2254                 NaN
  616.000        61501.0        1041.75        55.2275        51.3514                 NaN   52.0772        55.2275        52.0772        55.2275        55.2275        52.0772        52.0772        33.9150        33.9150        51.3514        55.2275        55.2275        100.000        16.0210        86.5067        16.0210        86.4964        13.9918        55.2275                 NaN
  617.000        61601.0        1042.14        55.2303        51.3540                 NaN   52.0799        55.2303        52.0799        55.2303        55.2303        52.0799        52.0799        33.9165        33.9165        51.3540        55.2303        55.2303        100.000        16.0224        86.5110        16.0224        86.5007        13.9930        55.2303                 NaN
  618.000        61701.0        1042.53        55.2329        51.3585                 NaN   52.0844        55.2329        52.0844        55.2329        55.2329        52.0844        52.0844        33.9216        33.9216        51.3585        55.2329        55.2329        100.000        16.0273        86.5140        16.0273        86.5037        13.9977        55.2329                 NaN
  619.000        61801.0        1042.92        55.2351        51.3625                 NaN   52.0884        55.2351        52.0884        55.2351        55.2351        52.0884        52.0884        33.9366        33.9366        51.3625        55.2351        55.2351        100.000        16.0416        86.5124        16.0416        86.5020        14.0177        55.2351                 NaN
  620.000        61901.0        1043.31        55.2378        51.3651                 NaN   52.0911        55.2378        52.0911        55.2378        55.2378        52.0911        52.0911        33.9381        33.9381        51.3651        55.2378        55.2378        100.000        16.0429        86.5167        16.0429        86.5063        14.0189        55.2378                 NaN
  621.000        62001.0        1043.69        55.2405        51.3672                 NaN   52.0933        55.2405        52.0933        55.2405        55.2405        52.0933        52.0933        33.9430        33.9430        51.3672        55.2405        55.2405        100.000        16.0475        86.5209        16.0475        86.5106        14.0237        55.2405                 NaN
  622.000        62101.0        1044.08        55.2399        51.3678                 NaN   52.0939        55.2399        52.0939        55.2399        55.2399        52.0939        52.0939        33.9354        33.9354        51.3678        55.2399        55.2399        100.000        16.0516        86.5239        16.0516        86.5136        14.0267        55.2399                 NaN
  623.000        62201.0        1044.46        55.2424        51.3721                 NaN   52.0983        55.2424        52.0983        55.2424        55.2424        52.0983        52.0983        33.9502        33.9502        51.3721        55.2424        55.2424        100.000        16.0659        86.5281        16.0659        86.5178        14.0391        55.2424                 NaN
  624.000        62301.0        1044.84        55.2451        51.3771                 NaN   52.1034        55.2451        52.1034        55.2451        55.2451        52.1034        52.1034        33.9581        33.9581        51.3771        55.2451        55.2451        100.000        16.0734        86.5323        16.0734        86.5220        14.0444        55.2451                 NaN
  625.000        62401.0        1045.22        55.2479        51.3798                 NaN   52.1061        55.2479        52.1061        55.2479        55.2479        52.1061        52.1061        33.9596        33.9596        51.3798        55.2479        55.2479        100.000        16.0747        86.5366        16.0747        86.5263        14.0456        55.2479                 NaN
  626.000        62501.0        1045.60        55.2505        51.3833                 NaN   52.1097        55.2505        52.1097        55.2505        55.2505        52.1097        52.1097        33.9679        33.9679        51.3833        55.2505        55.2505        100.000        16.0826        86.5409        16.0826        86.5305        14.0526        55.2505                 NaN
  627.000        62601.0        1045.98        55.2533        51.3857                 NaN   52.1122        55.2533        52.1122        55.2533        55.2533        52.1122        52.1122        33.9709        33.9709        51.3857        55.2533        55.2533        100.000        16.0854        86.5451        16.0854        86.5348        14.0554        55.2533                 NaN
  628.000        62701.0        1046.35        55.2559        51.3880                 NaN   52.1145        55.2559        52.1145        55.2559        55.2559        52.1145        52.1145        33.9800        33.9800        51.3880        55.2559        55.2559        100.000        16.0940        86.5494        16.0940        86.5390        14.0641        55.2559                 NaN
  629.000        62801.0        1046.73        55.2586        51.3933                 NaN   52.1198        55.2586        52.1198        55.2586        55.2586        52.1198        52.1198        33.9841        33.9841        51.3933        55.2586        55.2586        100.000        16.0979        86.5537        16.0979        86.5433        14.0656        55.2586                 NaN
  630.000        62901.0        1047.10        55.2613        51.3978                 NaN   52.1244        55.2613        52.1244        55.2613        55.2613        52.1244        52.1244        33.9913        33.9913        51.3978        55.2613        55.2613        100.000        16.1047        86.5579        16.1047        86.5476        14.0706        55.2613                 NaN
  631.000        63001.0        1047.47        55.2664        51.3993                 NaN   52.1259        55.2664        52.1259        55.2664        55.2664        52.1259        52.1259        34.0039        34.0039        51.3993        55.2664        55.2664        100.000        16.1165        86.5621        16.1165        86.5519        14.0839        55.2664                 NaN
  632.000        63101.0        1047.84        55.2667        51.4038                 NaN   52.1305        55.2667        52.1305        55.2667        55.2667        52.1305        52.1305        34.0068        34.0068        51.4038        55.2667        55.2667        100.000        16.1194        86.5665        16.1194        86.5562        14.0843        55.2667                 NaN
  633.000        63201.0        1048.21        55.2695        51.4065                 NaN   52.1332        55.2695        52.1332        55.2695        55.2695        52.1332        52.1332        34.0083        34.0083        51.4065        55.2695        55.2695        100.000        16.1207        86.5709        16.1207        86.5606        14.0855        55.2695                 NaN
  634.000        63301.0        1048.58        55.2740        51.4107                 NaN   52.1375        55.2740        52.1375        55.2740        55.2740        52.1375        52.1375        34.0154        34.0154        51.4107        55.2740        55.2740        100.000        16.1271        86.5752        16.1271        86.5650        14.0911        55.2740                 NaN
  635.000        63401.0        1048.94        55.2761        51.4121                 NaN   52.1390        55.2761        52.1390        55.2761        55.2761        52.1390        52.1390        34.0237        34.0237        51.4121        55.2761        55.2761        100.000        16.1354        86.5773        16.1354        86.5671        14.0994        55.2761                 NaN
  636.000        63501.0        1049.31        55.2778        51.4143                 NaN   52.1412        55.2778        52.1412        55.2778        55.2778        52.1412        52.1412        34.0291        34.0291        51.4143        55.2778        55.2778        100.000        16.1406        86.5814        16.1406        86.5712        14.1044        55.2778                 NaN
  637.000        63601.0        1049.67        55.2817        51.4174                 NaN   52.1443        55.2817        52.1443        55.2817        55.2817        52.1443        52.1443        34.0313        34.0313        51.4174        55.2817        55.2817        100.000        16.1424        86.5855        16.1424        86.5753        14.1062        55.2817                 NaN
  638.000        63701.0        1050.03        55.2843        51.4196                 NaN   52.1466        55.2843        52.1466        55.2843        55.2843        52.1466        52.1466        34.0381        34.0381        51.4196        55.2843        55.2843        100.000        16.1488        86.5896        16.1488        86.5794        14.1126        55.2843                 NaN
  639.000        63801.0        1050.39        55.2866        51.4279                 NaN   52.1549        55.2866        52.1549        55.2866        55.2866        52.1549        52.1549        34.0554        34.0554        51.4279        55.2866        55.2866        100.000        16.1656        86.5935        16.1656        86.5834        14.1241        55.2866                 NaN
  640.000        63901.0        1050.75        55.2892        51.4312                 NaN   52.1584        55.2892        52.1584        55.2892        55.2892        52.1584        52.1584        34.0594        34.0594        51.4312        55.2892        55.2892        100.000        16.1694        86.5976        16.1694        86.5874        14.1270        55.2892                 NaN
  641.000        64001.0        1051.10        55.2883        51.4381                 NaN   52.1653        55.2883        52.1653        55.2883        55.2883        52.1653        52.1653        34.0616        34.0616        51.4381        55.2883        55.2883        100.000        16.1833        86.6004        16.1833        86.5902        14.1341        55.2883                 NaN
  642.000        64101.0        1051.46        55.2907        51.4393                 NaN   52.1665        55.2907        52.1665        55.2907        55.2907        52.1665        52.1665        34.0720        34.0720        51.4393        55.2907        55.2907        100.000        16.1931        86.6044        16.1931        86.5942        14.1448        55.2907                 NaN
  643.000        64201.0        1051.81        55.2933        51.4417                 NaN   52.1690        55.2933        52.1690        55.2933        55.2933        52.1690        52.1690        34.0734        34.0734        51.4417        55.2933        55.2933        100.000        16.1943        86.6084        16.1943        86.5983        14.1460        55.2933                 NaN
  644.000        64301.0        1052.17        55.2957        51.4463                 NaN   52.1737        55.2957        52.1737        55.2957        55.2957        52.1737        52.1737        34.0924        34.0924        51.4463        55.2957        55.2957        100.000        16.2127        86.6123        16.2127        86.6022        14.1621        55.2957                 NaN
  645.000        64401.0        1052.52        55.2983        51.4488                 NaN   52.1762        55.2983        52.1762        55.2983        55.2983        52.1762        52.1762        34.0938        34.0938        51.4488        55.2983        55.2983        100.000        16.2140        86.6164        16.2140        86.6062        14.1633        55.2983                 NaN
  646.000        64501.0        1052.87        55.3009        51.4520                 NaN   52.1795        55.3009        52.1795        55.3009        55.3009        52.1795        52.1795        34.0960        34.0960        51.4520        55.3009        55.3009        100.000        16.2159        86.6204        16.2159        86.6103        14.1645        55.3009                 NaN
  647.000        64601.0        1053.21        55.3034        51.4576                 NaN   52.1851        55.3034        52.1851        55.3034        55.3034        52.1851        52.1851        34.1004        34.1004        51.4576        55.3034        55.3034        100.000        16.2202        86.6244        16.2202        86.6143        14.1660        55.3034                 NaN
  648.000        64701.0        1053.56        55.3059        51.4590                 NaN   52.1865        55.3059        52.1865        55.3059        55.3059        52.1865        52.1865        34.1091        34.1091        51.4590        55.3059        55.3059        100.000        16.2285        86.6284        16.2285        86.6182        14.1751        55.3059                 NaN
  649.000        64801.0        1053.91        55.3084        51.4613                 NaN   52.1889        55.3084        52.1889        55.3084        55.3084        52.1889        52.1889        34.1115        34.1115        51.4613        55.3084        55.3084        100.000        16.2307        86.6324        16.2307        86.6222        14.1773        55.3084                 NaN
