|6.6.6
gloss1d1_8.tab                                                                                      
           1
node #  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          99
node#          P(bar)         T(K)           H2,mol_abs     C,mol_abs      Si,mol_abs     Al,mol_abs     Fe,mol_abs     Mg,mol_abs     Ca,mol_abs     Na,mol_abs     K,mol_abs      O2,mol_abs     S2,mol_abs     m_{CO2}        m_{H2O}        m_{FeC4H6O4}   m_{FeC2H3O2}   m_{NaCO3-}     m_{CO3-2}      m_{CO2,aq}     m_{BENZENE}    m_{ACETATE}    m_{ACETIC-A}   m_{Al+3}       m_{AlO2-}      m_{Ca(HCO3)}   m_{Ca(OH)+}    m_{Ca+2}       m_{CaCO3,aq}   m_{CaSO4,aq}   m_{CO,aq}      m_{ETHANE,A}   m_{ETHANOL,}   m_{ETHYLENE}   m_{Fe+2}       m_{Fe+3}       m_{FORMATE,}   m_{FORMIC-A}   m_{GLUTARIC}   m_{GLYCOLIC}   m_{H+}         m_{H2,aq}      m_{H2S,aq}     m_{HAlO2,aq}   m_{HCO3-}      m_{HEXANE,A}   m_{HO2-}       m_{HS-}        m_{HSiO3-}     m_{HSO3-}      m_{HSO4-}      m_{HSO5-}      m_{K+}         m_{KOH,aq}     m_{KSO4-}      m_{LACTIC-A}   m_{METHANE,}   m_{METHANOL}   m_{Mg(HCO3)}   m_{Mg(HSiO3}   m_{Mg+2}       m_{MgCO3,aq}   m_{MgOH+}      m_{MgSO4,aq}   m_{Na+}        m_{NaHCO3,a}   m_{NaHSiO3,}   m_{NaOH,aq}    m_{O2,aq}      m_{OH-}        m_{PROPANE,}   m_{PROPANOA}   m_{PROPANOI}   m_{PROPANOL}   m_{S2-2}       m_{S2O3-2}     m_{S2O4-2}     m_{S2O5-2}     m_{S2O6-2}     m_{S2O8-2}     m_{S3-2}       m_{S3O6-2}     m_{S4-2}       m_{S4O6-2}     m_{S5-2}       m_{S5O6-2}     m_{Si2O4,aq}   m_{SiO2,aq}    m_{SO2,aq}     m_{SO3-2}      m_{SO4-2}      m_{TOLUENE,}   pH-pH_0        pH             error_pH       permittivity   I,m            tot_solute_m  
  134.000        13301.0        379.349       0.197873       0.269732E-003  0.380207E-002  0.396978E-009  0.280742E-008  0.139647E-005  0.476951E-004  0.399555E-002  0.584888E-004  0.104047       0.929415E-007   0.00000        53.6294       0.349094E-019  0.153720E-012  0.277011E-002  0.200901E-001  0.347308E-005  0.107368E-034  0.348156E-007  0.466156E-010  0.549723E-015  0.110854E-006  0.103361E-004  0.523186E-005  0.131734E-001  0.277325E-003  0.497898E-004  0.116084E-014  0.724264E-013  0.563729E-015  0.284588E-022  0.795582E-006  0.109050E-018  0.308860E-005  0.131937E-008  0.433020E-029  0.803682E-021  0.296573E-006  0.514538E-009  0.200071E-008  0.164431E-008  0.505956E-001  0.155977E-014  0.113066E-043  0.564411E-006  0.709485       0.453122E-014  0.217995E-011  0.199633E-056  0.165747E-001  0.179374E-006  0.168003E-008  0.927561E-025  0.526713E-006  0.596607E-012  0.365006E-005  0.103951E-003  0.284188E-003  0.281478E-005  0.113732E-005  0.389916E-010  0.760580       0.268117E-002  0.366195       0.537414E-004  0.181878E-060  0.115756E-002  0.206494E-018  0.367587E-011  0.399441E-017  0.113026E-021  0.692128E-015  0.334244E-015  0.802404E-033  0.214287E-034  0.318722E-038  0.152444E-077  0.142730E-019  0.407515E-044  0.204063E-024  0.931031E-041  0.195616E-029  0.108669E-053  0.318703E-004  0.160504E-002  0.160754E-022  0.683701E-013  0.231864E-005  0.777222E-038   1.80319        6.66150      -0.149631E-001   74.1631       0.837747        1.94574     
  135.000        13401.0        380.006       0.197815       0.264297E-003  0.389795E-002  0.390633E-009  0.302101E-008  0.147619E-005  0.505739E-004  0.407364E-002  0.615341E-004  0.104130       0.103076E-006   0.00000        53.5924       0.379455E-019  0.166838E-012  0.269710E-002  0.192369E-001  0.350477E-005  0.112634E-034  0.348054E-007  0.472308E-010  0.623917E-015  0.109074E-006  0.107692E-004  0.551839E-005  0.139848E-001  0.282983E-003  0.555925E-004  0.118373E-014  0.709310E-013  0.583487E-015  0.291422E-022  0.856573E-006  0.131039E-018  0.310260E-005  0.135290E-008  0.475996E-029  0.871800E-021  0.313497E-006  0.507720E-009  0.198584E-008  0.168577E-008  0.500117E-001  0.140934E-014  0.132590E-043  0.545243E-006  0.726196       0.487476E-014  0.231237E-011  0.254488E-056  0.174471E-001  0.188847E-006  0.175792E-008  0.100394E-024  0.507526E-006  0.605280E-012  0.380893E-005  0.112009E-003  0.298728E-003  0.282429E-005  0.118594E-005  0.408229E-010  0.772381       0.268513E-002  0.377216       0.536900E-004  0.230230E-060  0.114365E-002  0.204121E-018  0.379255E-011  0.411023E-017  0.115085E-021  0.658176E-015  0.335863E-015  0.871717E-033  0.238306E-034  0.364674E-038  0.196677E-077  0.140157E-019  0.489839E-044  0.207101E-024  0.107391E-040  0.205321E-029  0.142686E-053  0.326699E-004  0.162751E-002  0.175724E-022  0.691576E-013  0.231050E-005  0.819489E-038   1.78866        6.63691      -0.152633E-001   74.0919       0.852054        1.98550     
  136.000        13501.0        380.661       0.197752       0.258787E-003  0.400113E-002  0.384355E-009  0.323551E-008  0.156225E-005  0.535973E-004  0.415886E-002  0.645200E-004  0.104220       0.114269E-006   0.00000        53.5524       0.411413E-019  0.180437E-012  0.262888E-002  0.184149E-001  0.352863E-005  0.118438E-034  0.348217E-007  0.478119E-010  0.704183E-015  0.107316E-006  0.112056E-004  0.582486E-005  0.148379E-001  0.288745E-003  0.620051E-004  0.120541E-014  0.696694E-013  0.604619E-015  0.298896E-022  0.917920E-006  0.156331E-018  0.311584E-005  0.138461E-008  0.522661E-029  0.943946E-021  0.330902E-006  0.501460E-009  0.197361E-008  0.172623E-008  0.493719E-001  0.127421E-014  0.155273E-043  0.527990E-006  0.743920       0.523748E-014  0.244718E-011  0.322891E-056  0.183043E-001  0.198364E-006  0.183188E-008  0.108565E-024  0.490044E-006  0.614186E-012  0.397420E-005  0.120931E-003  0.314232E-003  0.283726E-005  0.123914E-005  0.427530E-010  0.785136       0.268895E-002  0.389370       0.537542E-004  0.290317E-060  0.113094E-002  0.202547E-018  0.391942E-011  0.423152E-017  0.117427E-021  0.628068E-015  0.337505E-015  0.945534E-033  0.264289E-034  0.415590E-038  0.251927E-077  0.138139E-019  0.586544E-044  0.211006E-024  0.123463E-040  0.216395E-029  0.186706E-053  0.334846E-004  0.165020E-002  0.191620E-022  0.699332E-013  0.229956E-005  0.866915E-038   1.77466        6.61292      -0.155887E-001   74.0217       0.867460        2.02836     
  137.000        13601.0        381.313       0.197694       0.253588E-003  0.409573E-002  0.378019E-009  0.349237E-008  0.165060E-005  0.568515E-004  0.423492E-002  0.679971E-004  0.104302       0.126778E-006   0.00000        53.5159       0.447627E-019  0.196240E-012  0.255534E-002  0.176161E-001  0.356384E-005  0.123864E-034  0.347650E-007  0.484326E-010  0.800831E-015  0.105531E-006  0.116832E-004  0.613993E-005  0.157558E-001  0.294613E-003  0.691720E-004  0.122911E-014  0.680979E-013  0.624865E-015  0.305456E-022  0.991318E-006  0.188446E-018  0.312748E-005  0.142019E-008  0.573566E-029  0.102322E-020  0.349933E-006  0.494453E-009  0.195603E-008  0.177025E-008  0.487988E-001  0.115121E-014  0.181537E-043  0.508849E-006  0.760444       0.562544E-014  0.259356E-011  0.410378E-056  0.193009E-001  0.208957E-006  0.191787E-008  0.117343E-024  0.471683E-006  0.622599E-012  0.414628E-005  0.130117E-003  0.330128E-003  0.284429E-005  0.129036E-005  0.446962E-010  0.796527       0.269067E-002  0.400266       0.536022E-004  0.366647E-060  0.111606E-002  0.199671E-018  0.403520E-011  0.434838E-017  0.119307E-021  0.594536E-015  0.338042E-015  0.102336E-032  0.292917E-034  0.474014E-038  0.323682E-077  0.134892E-019  0.702016E-044  0.212733E-024  0.141743E-040  0.225394E-029  0.243575E-053  0.343144E-004  0.167309E-002  0.209275E-022  0.705641E-013  0.228785E-005  0.910606E-038   1.75979        6.58811      -0.158789E-001   73.9524       0.881860        2.06769     
  138.000        13701.0        381.963       0.197626       0.248602E-003  0.420741E-002  0.372198E-009  0.372120E-008  0.174465E-005  0.600962E-004  0.432894E-002  0.711222E-004  0.104400       0.140776E-006   0.00000        53.4724       0.483597E-019  0.211350E-012  0.249773E-002  0.168843E-001  0.358751E-005  0.129997E-034  0.347879E-007  0.489974E-010  0.899773E-015  0.103903E-006  0.121416E-004  0.647085E-005  0.166728E-001  0.300588E-003  0.771906E-004  0.125087E-014  0.668354E-013  0.646827E-015  0.312899E-022  0.105694E-005  0.223144E-018  0.314188E-005  0.145269E-008  0.628465E-029  0.110631E-020  0.368807E-006  0.488188E-009  0.194546E-008  0.181241E-008  0.482018E-001  0.104089E-014  0.212190E-043  0.493544E-006  0.779264       0.604920E-014  0.274780E-011  0.519870E-056  0.202007E-001  0.219102E-006  0.199925E-008  0.126679E-024  0.455303E-006  0.631290E-012  0.432395E-005  0.140378E-003  0.346625E-003  0.285943E-005  0.134738E-005  0.468812E-010  0.810438       0.269963E-002  0.413866       0.537665E-004  0.460778E-060  0.110419E-002  0.197902E-018  0.416931E-011  0.447147E-017  0.121577E-021  0.568952E-015  0.340599E-015  0.111183E-032  0.325340E-034  0.540866E-038  0.414278E-077  0.133438E-019  0.842253E-044  0.217720E-024  0.163514E-040  0.238814E-029  0.319842E-053  0.351593E-004  0.169619E-002  0.228191E-022  0.714682E-013  0.228150E-005  0.961170E-038   1.74624        6.56469      -0.162385E-001   73.8840       0.898751        2.11452     
  139.000        13801.0        382.610       0.197564       0.243492E-003  0.431046E-002  0.366013E-009  0.399829E-008  0.184461E-005  0.636845E-004  0.441298E-002  0.747164E-004  0.104491       0.156153E-006   0.00000        53.4325       0.524687E-019  0.229050E-012  0.243033E-002  0.161461E-001  0.361609E-005  0.136070E-034  0.347423E-007  0.495802E-010  0.101746E-014  0.102163E-006  0.126423E-004  0.682215E-005  0.176867E-001  0.306672E-003  0.860088E-004  0.127354E-014  0.654590E-013  0.668732E-015  0.319959E-022  0.113629E-005  0.266992E-018  0.315215E-005  0.148719E-008  0.688255E-029  0.119645E-020  0.389401E-006  0.481643E-009  0.192980E-008  0.185659E-008  0.475875E-001  0.940894E-015  0.247416E-043  0.476519E-006  0.796930       0.648645E-014  0.290537E-011  0.656843E-056  0.212338E-001  0.230250E-006  0.208526E-008  0.136696E-024  0.438927E-006  0.639765E-012  0.450984E-005  0.151239E-003  0.364207E-003  0.286950E-005  0.140503E-005  0.490177E-010  0.822823       0.270136E-002  0.426141       0.537106E-004  0.578919E-060  0.109031E-002  0.195589E-018  0.429607E-011  0.459396E-017  0.123650E-021  0.539840E-015  0.340946E-015  0.120034E-032  0.359302E-034  0.613996E-038  0.527732E-077  0.130610E-019  0.100322E-043  0.220021E-024  0.186941E-040  0.249334E-029  0.415229E-053  0.360197E-004  0.171949E-002  0.248544E-022  0.720527E-013  0.226678E-005  0.101111E-037   1.73186        6.54049      -0.165587E-001   73.8166       0.914539        2.15753     
  140.000        13901.0        383.254       0.197499       0.238642E-003  0.441644E-002  0.360039E-009  0.428921E-008  0.194877E-005  0.674120E-004  0.449996E-002  0.784463E-004  0.104585       0.173332E-006   0.00000        53.3914       0.568534E-019  0.247892E-012  0.236715E-002  0.154484E-001  0.364575E-005  0.142221E-034  0.346927E-007  0.501581E-010  0.114899E-014  0.100480E-006  0.131586E-004  0.718630E-005  0.187405E-001  0.312867E-003  0.958604E-004  0.129643E-014  0.640553E-013  0.690855E-015  0.326868E-022  0.121970E-005  0.318688E-018  0.316281E-005  0.152246E-008  0.752946E-029  0.129322E-020  0.410933E-006  0.475025E-009  0.191436E-008  0.190196E-008  0.469996E-001  0.850436E-015  0.288201E-043  0.460203E-006  0.814962       0.695794E-014  0.307401E-011  0.829484E-056  0.223071E-001  0.241850E-006  0.217645E-008  0.147380E-024  0.422940E-006  0.648060E-012  0.470237E-005  0.162824E-003  0.382290E-003  0.287992E-005  0.146417E-005  0.512774E-010  0.835566       0.270519E-002  0.438938       0.536780E-004  0.726352E-060  0.107663E-002  0.193066E-018  0.442457E-011  0.471629E-017  0.125625E-021  0.512482E-015  0.341607E-015  0.129662E-032  0.397071E-034  0.697501E-038  0.672253E-077  0.127939E-019  0.119603E-043  0.222574E-024  0.214037E-040  0.260648E-029  0.539797E-053  0.368954E-004  0.174300E-002  0.270744E-022  0.726815E-013  0.225419E-005  0.106179E-037   1.71760        6.51649      -0.168948E-001   73.7501       0.930885        2.20194     
  141.000        14001.0        383.895       0.197430       0.233617E-003  0.452849E-002  0.354006E-009  0.458683E-008  0.206194E-005  0.713634E-004  0.459248E-002  0.821397E-004  0.104683       0.192187E-006   0.00000        53.3480       0.615066E-019  0.267677E-012  0.230566E-002  0.147672E-001  0.366733E-005  0.148993E-034  0.346580E-007  0.506990E-010  0.129163E-014  0.987843E-007  0.136825E-004  0.757776E-005  0.198589E-001  0.319175E-003  0.106686E-003  0.131789E-014  0.628626E-013  0.714507E-015  0.334444E-022  0.130516E-005  0.378393E-018  0.317163E-005  0.155560E-008  0.822860E-029  0.139530E-020  0.433176E-006  0.468924E-009  0.190061E-008  0.194614E-008  0.463466E-001  0.769091E-015  0.335140E-043  0.445152E-006  0.833826       0.744843E-014  0.324267E-011  0.104183E-055  0.233722E-001  0.253533E-006  0.226143E-008  0.158767E-024  0.408363E-006  0.656576E-012  0.490317E-005  0.175663E-003  0.401727E-003  0.289327E-005  0.152904E-005  0.536242E-010  0.848985       0.270696E-002  0.452716       0.537202E-004  0.907821E-060  0.106375E-002  0.191296E-018  0.456294E-011  0.484435E-017  0.127897E-021  0.487416E-015  0.341761E-015  0.139631E-032  0.436955E-034  0.788055E-038  0.848982E-077  0.125530E-019  0.141774E-043  0.225477E-024  0.243682E-040  0.272799E-029  0.697392E-053  0.377866E-004  0.176670E-002  0.294089E-022  0.732142E-013  0.223655E-005  0.111863E-037   1.70371        6.49292      -0.172470E-001   73.6845       0.948116        2.24885     
  142.000        14101.0        384.534       0.197369       0.228706E-003  0.463210E-002  0.347839E-009  0.494092E-008  0.218003E-005  0.756594E-004  0.467546E-002  0.863786E-004  0.104776       0.213034E-006   0.00000        53.3080       0.667730E-019  0.290580E-012  0.223842E-002  0.140986E-001  0.369628E-005  0.155509E-034  0.345609E-007  0.512640E-010  0.146103E-014  0.970391E-007  0.142516E-004  0.798670E-005  0.210743E-001  0.325597E-003  0.118656E-003  0.134068E-014  0.614984E-013  0.737648E-015  0.341354E-022  0.140672E-005  0.453472E-018  0.317789E-005  0.159157E-008  0.898718E-029  0.150625E-020  0.457354E-006  0.462392E-009  0.188225E-008  0.199310E-008  0.457176E-001  0.695201E-015  0.388979E-043  0.428792E-006  0.851562       0.796174E-014  0.341947E-011  0.130773E-055  0.245924E-001  0.266402E-006  0.235537E-008  0.170946E-024  0.393505E-006  0.664721E-012  0.511183E-005  0.189079E-003  0.421986E-003  0.290130E-005  0.159317E-005  0.559446E-010  0.860967       0.270437E-002  0.465175       0.535645E-004  0.113506E-059  0.104916E-002  0.188738E-018  0.469190E-011  0.496949E-017  0.129840E-021  0.460143E-015  0.340404E-015  0.149781E-032  0.479431E-034  0.888549E-038  0.107110E-076  0.122066E-019  0.167446E-043  0.226028E-024  0.276086E-040  0.282094E-029  0.894930E-053  0.386934E-004  0.179060E-002  0.319467E-022  0.735292E-013  0.221508E-005  0.117288E-037   1.68908        6.46866      -0.175692E-001   73.6199       0.964372        2.29216     
  143.000        14201.0        385.170       0.197300       0.223971E-003  0.475260E-002  0.342095E-009  0.526139E-008  0.230586E-005  0.799560E-004  0.477611E-002  0.902269E-004  0.104885       0.236289E-006   0.00000        53.2614       0.720327E-019  0.312716E-012  0.218381E-002  0.134810E-001  0.371497E-005  0.162770E-034  0.345293E-007  0.517755E-010  0.163477E-014  0.954229E-007  0.148019E-004  0.841526E-005  0.222917E-001  0.332135E-003  0.132017E-003  0.136159E-014  0.603687E-013  0.762510E-015  0.349069E-022  0.149894E-005  0.534822E-018  0.318639E-005  0.162451E-008  0.980149E-029  0.162233E-020  0.481438E-006  0.456444E-009  0.186980E-008  0.203832E-008  0.450724E-001  0.628798E-015  0.451291E-043  0.415313E-006  0.871484       0.851934E-014  0.360520E-011  0.163680E-055  0.257049E-001  0.278761E-006  0.244397E-008  0.183850E-024  0.380087E-006  0.673073E-012  0.532806E-005  0.204006E-003  0.443014E-003  0.291704E-005  0.166403E-005  0.585476E-010  0.875335       0.270836E-002  0.480410       0.536851E-004  0.141296E-059  0.103699E-002  0.187047E-018  0.483878E-011  0.510029E-017  0.132129E-021  0.438461E-015  0.340799E-015  0.161195E-032  0.527005E-034  0.100221E-037  0.134677E-076  0.120031E-019  0.198194E-043  0.229552E-024  0.314151E-040  0.296079E-029  0.115514E-052  0.396161E-004  0.181471E-002  0.346579E-022  0.740793E-013  0.219818E-005  0.123464E-037   1.67559        6.44562      -0.179531E-001   73.5562       0.982966        2.34277     
  144.000        14301.0        385.803       0.197236       0.219156E-003  0.486353E-002  0.336061E-009  0.564859E-008  0.243931E-005  0.847023E-004  0.486562E-002  0.946502E-004  0.104985       0.261756E-006   0.00000        53.2187       0.780328E-019  0.338595E-012  0.212110E-002  0.128634E-001  0.373829E-005  0.169930E-034  0.344332E-007  0.523014E-010  0.184057E-014  0.937149E-007  0.154014E-004  0.887011E-005  0.236362E-001  0.338791E-003  0.146658E-003  0.138329E-014  0.591409E-013  0.787253E-015  0.356349E-022  0.161024E-005  0.637202E-018  0.319087E-005  0.165940E-008  0.106834E-028  0.174767E-020  0.507657E-006  0.450247E-009  0.185251E-008  0.208559E-008  0.444147E-001  0.568565E-015  0.522350E-043  0.400485E-006  0.890177       0.909035E-014  0.379329E-011  0.204313E-055  0.269815E-001  0.292341E-006  0.253730E-008  0.197630E-024  0.366675E-006  0.681169E-012  0.555323E-005  0.219795E-003  0.465360E-003  0.292742E-005  0.173558E-005  0.610710E-010  0.888031       0.270507E-002  0.494123       0.535900E-004  0.175823E-059  0.102309E-002  0.184864E-018  0.497727E-011  0.522986E-017  0.134205E-021  0.414372E-015  0.339035E-015  0.172407E-032  0.576059E-034  0.112469E-037  0.168529E-076  0.116820E-019  0.232907E-043  0.230267E-024  0.354278E-040  0.306304E-029  0.147418E-052  0.405545E-004  0.183901E-002  0.375536E-022  0.743056E-013  0.217367E-005  0.129540E-037   1.66132        6.42184      -0.183028E-001   73.4935        1.00044        2.38923     
  145.000        14401.0        386.434       0.197238       0.214626E-003  0.498556E-002  0.330435E-009  0.603130E-008  0.258072E-005  0.895775E-004  0.496649E-002  0.990104E-004  0.105133       0.290233E-006   0.00000        53.1723       0.842481E-019  0.364994E-012  0.206563E-002  0.122854E-001  0.375787E-005  0.177477E-034  0.343628E-007  0.528014E-010  0.206098E-014  0.920914E-007  0.160021E-004  0.934360E-005  0.250094E-001  0.345566E-003  0.162977E-003  0.140426E-014  0.579929E-013  0.812904E-015  0.363882E-022  0.171984E-005  0.752963E-018  0.319654E-005  0.169338E-008  0.116316E-028  0.188041E-020  0.534472E-006  0.444252E-009  0.183786E-008  0.213280E-008  0.437668E-001  0.514211E-015  0.604184E-043  0.387141E-006  0.910041       0.970641E-014  0.399257E-011  0.254680E-055  0.282328E-001  0.305964E-006  0.263112E-008  0.212252E-024  0.353995E-006  0.689244E-012  0.578651E-005  0.236948E-003  0.488411E-003  0.294138E-005  0.181137E-005  0.638088E-010  0.901960       0.270582E-002  0.509421       0.536246E-004  0.218232E-059  0.101029E-002  0.182927E-018  0.512477E-011  0.536173E-017  0.136374E-021  0.393249E-015  0.338189E-015  0.184718E-032  0.630436E-034  0.126290E-037  0.210617E-076  0.114281E-019  0.274112E-043  0.232391E-024  0.400626E-040  0.319112E-029  0.188765E-052  0.415090E-004  0.186351E-002  0.406739E-022  0.746542E-013  0.215231E-005  0.136010E-037   1.64760        6.39868      -0.186830E-001   73.4316        1.01925        2.43974     
  146.000        14501.0        387.062       0.197172       0.210037E-003  0.510041E-002  0.324564E-009  0.646853E-008  0.272899E-005  0.948179E-004  0.505897E-002  0.103797E-003  0.105237       0.321445E-006   0.00000        53.1281       0.911754E-019  0.394853E-012  0.200635E-002  0.117187E-001  0.378046E-005  0.184989E-034  0.342508E-007  0.533077E-010  0.231577E-014  0.904268E-007  0.166435E-004  0.984266E-005  0.264947E-001  0.352463E-003  0.180933E-003  0.142573E-014  0.567863E-013  0.838596E-015  0.371086E-022  0.184568E-005  0.894896E-018  0.319965E-005  0.172878E-008  0.126553E-028  0.202305E-020  0.563223E-006  0.438104E-009  0.182021E-008  0.218171E-008  0.431175E-001  0.464954E-015  0.697524E-043  0.373208E-006  0.929218       0.103454E-013  0.419702E-011  0.316785E-055  0.296162E-001  0.320628E-006  0.272948E-008  0.227828E-024  0.341465E-006  0.697096E-012  0.602867E-005  0.255158E-003  0.512641E-003  0.295193E-005  0.188844E-005  0.665314E-010  0.914859       0.270227E-002  0.523864       0.535265E-004  0.270653E-059  0.996506E-003  0.180655E-018  0.526739E-011  0.549281E-017  0.138379E-021  0.371269E-015  0.336009E-015  0.197112E-032  0.687421E-034  0.141335E-037  0.262297E-076  0.111072E-019  0.321089E-043  0.232710E-024  0.450452E-040  0.329435E-029  0.239935E-052  0.424796E-004  0.188821E-002  0.440141E-022  0.747966E-013  0.212658E-005  0.142449E-037   1.63342        6.37512      -0.190410E-001   73.3706        1.03751        2.48793     
  147.000        14601.0        387.687       0.197101       0.205434E-003  0.522363E-002  0.318793E-009  0.690545E-008  0.288832E-005  0.100272E-003  0.515958E-002  0.108472E-003  0.105349       0.355822E-006   0.00000        53.0808       0.984232E-019  0.425693E-012  0.195110E-002  0.111760E-001  0.379610E-005  0.193135E-034  0.341591E-007  0.537757E-010  0.258822E-014  0.887937E-007  0.172884E-004  0.103721E-004  0.280424E-001  0.359484E-003  0.200727E-003  0.144580E-014  0.557264E-013  0.865745E-015  0.378849E-022  0.197167E-005  0.105612E-017  0.320212E-005  0.176208E-008  0.137536E-028  0.217296E-020  0.592698E-006  0.432332E-009  0.180475E-008  0.222959E-008  0.424366E-001  0.420581E-015  0.804275E-043  0.360532E-006  0.949463       0.110164E-013  0.440454E-011  0.392527E-055  0.309711E-001  0.335272E-006  0.282213E-008  0.244326E-024  0.329892E-006  0.705061E-012  0.628062E-005  0.275213E-003  0.538252E-003  0.296616E-005  0.197204E-005  0.694146E-010  0.928746       0.269927E-002  0.539735       0.535332E-004  0.334531E-059  0.983660E-003  0.178921E-018  0.542073E-011  0.562836E-017  0.140620E-021  0.351586E-015  0.333949E-015  0.210115E-032  0.748056E-034  0.157697E-037  0.324784E-076  0.108318E-019  0.375088E-043  0.233888E-024  0.505393E-040  0.341452E-029  0.304323E-052  0.434664E-004  0.191310E-002  0.475385E-022  0.749307E-013  0.209945E-005  0.149543E-037   1.61972        6.35210      -0.194290E-001   73.3105        1.05695        2.53964     
  148.000        14701.0        388.310       0.197032       0.200839E-003  0.534484E-002  0.312964E-009  0.738962E-008  0.305750E-005  0.106120E-003  0.525712E-002  0.113476E-003  0.105460       0.393556E-006   0.00000        53.0343       0.106373E-018  0.459773E-012  0.189413E-002  0.106475E-001  0.381192E-005  0.201456E-034  0.340428E-007  0.542377E-010  0.289601E-014  0.871394E-007  0.179661E-004  0.109320E-004  0.297018E-001  0.366629E-003  0.222467E-003  0.146582E-014  0.546656E-013  0.893382E-015  0.386544E-022  0.211131E-005  0.124947E-017  0.320247E-005  0.179577E-008  0.149360E-028  0.233283E-020  0.623919E-006  0.426562E-009  0.178770E-008  0.227838E-008  0.417460E-001  0.380435E-015  0.925802E-043  0.347766E-006  0.969460       0.117114E-013  0.461547E-011  0.485089E-055  0.324213E-001  0.350715E-006  0.291583E-008  0.261857E-024  0.318662E-006  0.712905E-012  0.654219E-005  0.296741E-003  0.565246E-003  0.297876E-005  0.205870E-005  0.723180E-010  0.942079       0.269302E-002  0.555306       0.534680E-004  0.412887E-059  0.970352E-003  0.177103E-018  0.557339E-011  0.576472E-017  0.142817E-021  0.331924E-015  0.330916E-015  0.223219E-032  0.811288E-034  0.175348E-037  0.400444E-076  0.105210E-019  0.436239E-043  0.233918E-024  0.564178E-040  0.351842E-029  0.383567E-052  0.444697E-004  0.193820E-002  0.512824E-022  0.749030E-013  0.206868E-005  0.156825E-037   1.60580        6.32892      -0.198081E-001   73.2513        1.07629        2.59046     
  149.000        14801.0        388.930       0.197012       0.195848E-003  0.540719E-002  0.309515E-009  0.821267E-008  0.334858E-005  0.111172E-003  0.529921E-002  0.115632E-003  0.105521       0.424263E-006   0.00000        53.0113       0.116938E-018  0.509924E-012  0.180546E-002  0.100632E-001  0.385741E-005  0.207805E-034  0.336516E-007  0.548336E-010  0.340456E-014  0.860905E-007  0.184163E-004  0.112756E-004  0.311365E-001  0.365084E-003  0.240146E-003  0.149148E-014  0.530594E-013  0.917187E-015  0.391479E-022  0.234707E-005  0.155695E-017  0.318791E-005  0.184081E-008  0.162357E-028  0.251502E-020  0.663424E-006  0.419362E-009  0.175365E-008  0.236459E-008  0.410396E-001  0.343522E-015  0.105963E-042  0.329291E-006  0.981451       0.123611E-013  0.482119E-011  0.599165E-055  0.330457E-001  0.353667E-006  0.289497E-008  0.280834E-024  0.305677E-006  0.719702E-012  0.705047E-005  0.328425E-003  0.616234E-003  0.306366E-005  0.220614E-005  0.769774E-010  0.948455       0.266129E-002  0.561468       0.524846E-004  0.512767E-059  0.949132E-003  0.172833E-018  0.566343E-011  0.588674E-017  0.143796E-021  0.303406E-015  0.321204E-015  0.233086E-032  0.868148E-034  0.193108E-037  0.492353E-076  0.983256E-020  0.499330E-043  0.223690E-024  0.616130E-040  0.344479E-029  0.469844E-052  0.454895E-004  0.196350E-002  0.553812E-022  0.737976E-013  0.201723E-005  0.162062E-037   1.58776        6.30167      -0.199911E-001   73.1929        1.08720        2.61574     
  150.000        14901.0        389.547       0.196963       0.191326E-003  0.554535E-002  0.304130E-009  0.870721E-008  0.355609E-005  0.117315E-003  0.541401E-002  0.119978E-003  0.105663       0.468473E-006   0.00000        52.9588       0.125659E-018  0.546735E-012  0.175754E-002  0.958599E-002  0.386027E-005  0.217300E-034  0.335695E-007  0.552108E-010  0.377302E-014  0.845552E-007  0.190693E-004  0.118768E-004  0.328788E-001  0.371922E-003  0.265618E-003  0.150882E-014  0.522349E-013  0.947394E-015  0.400107E-022  0.248990E-005  0.181626E-017  0.318722E-005  0.187032E-008  0.175839E-028  0.269112E-020  0.696439E-006  0.414215E-009  0.174095E-008  0.241348E-008  0.403020E-001  0.310939E-015  0.121688E-042  0.318972E-006   1.00344       0.131235E-013  0.503834E-011  0.735450E-055  0.343084E-001  0.367576E-006  0.296703E-008  0.300343E-024  0.296031E-006  0.727581E-012  0.735429E-005  0.355694E-003  0.648443E-003  0.308889E-005  0.231351E-005  0.804534E-010  0.963857       0.265700E-002  0.579857       0.526261E-004  0.628868E-059  0.937646E-003  0.171870E-018  0.583474E-011  0.602908E-017  0.146357E-021  0.288290E-015  0.318743E-015  0.247346E-032  0.938838E-034  0.213713E-037  0.601112E-076  0.962080E-020  0.578463E-043  0.225566E-024  0.686096E-040  0.358206E-029  0.590877E-052  0.465261E-004  0.198899E-002  0.595524E-022  0.737941E-013  0.198579E-005  0.170575E-037   1.57482        6.27957      -0.204852E-001   73.1353        1.10874        2.67337     
