|6.6.6
gloss1di_1.tab                                                                                      
           1
n(H2O)  
  0.000000000000000E+000
  0.000000000000000E+000
           0
          12
n(H2O)         node#          Grt(JH)        Mica(CF)       Do(HP)         Omph(GHP)      COH-Fluid+     law            coe            pyr            M(HP)          ky            
  7.10000        72.0000        28.6783        63.5596        4.79082        48.2015        3.93141        17.6844        100.000        4.79082        3.41946                 NaN
  7.20000        73.0000        28.7520        63.5339        4.74510        48.2371        3.88493        17.6827        100.000        4.74510        3.37649                 NaN
  7.30000        74.0000        28.8149        63.5101        4.70308        48.2754        3.84221        17.6848        100.000        4.70308        3.33383                 NaN
  7.40000        75.0000        28.8901        63.4818        4.66592        48.3238        3.80437        17.6814        100.000        4.66592        3.29124                 NaN
  7.50000        76.0000        28.9636        63.4532        4.62490        48.3570        3.76264        17.6677        100.000        4.62490        3.24886                 NaN
  7.60000        77.0000        29.0410        63.4231        4.58511        48.3887        3.72214        17.6497        100.000        4.58511        3.20662                 NaN
  7.70000        78.0000        29.1016        63.3960        4.53744        48.4357        3.67375        17.6533        100.000        4.53744        3.16543                 NaN
  7.80000        79.0000        29.1779        63.3676        4.50406        48.4698        3.63970        17.6394        100.000        4.50406        3.12375                 NaN
  7.90000        80.0000        29.2541        63.3371        4.46190        48.5064        3.59681        17.6270        100.000        4.46190        3.08264                 NaN
  8.00000        81.0000        29.3285        63.3081        4.42088        48.5454        3.55509        17.6192        100.000        4.42088        3.04190                 NaN
  8.10000        82.0000        29.3852        63.2841        4.37568        48.5813        3.50921        17.6236        100.000        4.37568        3.00191                 NaN
  8.20000        83.0000        29.4651        63.2556        4.34618        48.6154        3.47908        17.6082        100.000        4.34618        2.96104                 NaN
  8.30000        84.0000        29.5414        63.2217        4.30667        48.6555        3.43885        17.5894        100.000        4.30667        2.92075                 NaN
  8.40000        85.0000        29.6006        63.1983        4.25472        48.6901        3.38619        17.5992        100.000        4.25472        2.88191                 NaN
  8.50000        86.0000        29.6799        63.1721        4.22794        48.7262        3.35885        17.5906        100.000        4.22794        2.84191                 NaN
  8.60000        87.0000        29.7520        63.1408        4.18808        48.7680        3.31831        17.5802        100.000        4.18808        2.80264                 NaN
  8.70000        88.0000        29.8216        63.1112        4.15042        48.7987        3.28001        17.5642        100.000        4.15042        2.76348                 NaN
  8.80000        89.0000        29.9024        63.0811        4.11270        48.8284        3.24168        17.5470        100.000        4.11270        2.72447                 NaN
  8.90000        90.0000        29.9649        63.0533        4.07198        48.8602        3.20036        17.5370        100.000        4.07198        2.68610                 NaN
  9.00000        91.0000        30.0431        63.0220        4.03837        48.9026        3.16614        17.5245        100.000        4.03837        2.64726                 NaN
  9.10000        92.0000        30.1156        62.9899        4.00168        48.9303        3.12882        17.5010        100.000        4.00168        2.60887                 NaN
  9.20000        93.0000        30.1715        62.9631        3.95650        48.9620        3.08301        17.4970        100.000        3.95650        2.57129                 NaN
  9.30000        94.0000        30.2558        62.9316        3.92883        49.0043        3.05479        17.4817        100.000        3.92883        2.53298                 NaN
  9.40000        95.0000        30.3209        62.9048        3.88172        49.0352        3.00705        17.4797        100.000        3.88172        2.49597                 NaN
  9.50000        96.0000        30.3985        62.8761        3.85399        49.0673        2.97880        17.4637        100.000        3.85399        2.45799                 NaN
  9.60000        97.0000        30.4554        62.8492        3.81027        49.0984        2.93450        17.4585        100.000        3.81027        2.42122                 NaN
  9.70000        98.0000        30.5398        62.8172        3.78340        49.1398        2.90712        17.4411        100.000        3.78340        2.38358                 NaN
  9.80000        99.0000        30.6133        62.7827        3.74638        49.1645        2.86946        17.4118        100.000        3.74638        2.34642                 NaN
  9.90000        100.000        30.6791        62.7557        3.70019        49.1947        2.82266        17.4094        100.000        3.70019        2.31008                 NaN
  10.0000        101.000        30.7570        62.7268        3.67296        49.2261        2.79492        17.3941        100.000        3.67296        2.27315                 NaN
  10.1000        102.000        30.8240        62.6966        3.63295        49.2668        2.75432        17.3879        100.000        3.63295        2.23683                 NaN
  10.2000        103.000        30.8968        62.6667        3.60123        49.2962        2.72208        17.3704        100.000        3.60123        2.20035                 NaN
  10.3000        104.000        30.9681        62.6390        3.56047        49.3263        2.68077        17.3640        100.000        3.56047        2.16444                 NaN
  10.4000        105.000        31.0499        62.6052        3.53558        49.3590        2.65535        17.3375        100.000        3.53558        2.12785                 NaN
  10.5000        106.000        31.1047        62.5760        3.48827        49.3930        2.60741        17.3338        100.000        3.48827        2.09246                 NaN
  10.6000        107.000        31.1833        62.5451        3.46372        49.4224        2.58237        17.3112        100.000        3.46372        2.05605                 NaN
  10.7000        108.000        31.2570        62.5143        3.42260        49.4491        2.54068        17.2956        100.000        3.42260        2.02060                 NaN
  10.8000        109.000        31.3212        62.4872        3.38720        49.4804        2.50482        17.2875        100.000        3.38720        1.98523                 NaN
  10.9000        110.000        31.4035        62.4540        3.35877        49.5187        2.47590        17.2685        100.000        3.35877        1.94939                 NaN
  11.0000        111.000        31.4646        62.4245        3.31772        49.5468        2.43430        17.2564        100.000        3.31772        1.91438                 NaN
  11.1000        112.000        31.5471        62.3914        3.29203        49.5736        2.40815        17.2271        100.000        3.29203        1.87852                 NaN
  11.2000        113.000        31.6131        62.3613        3.24797        49.6006        2.36353        17.2151        100.000        3.24797        1.84376                 NaN
  11.3000        114.000        31.6873        62.3324        3.21736        49.6303        2.33244        17.2023        100.000        3.21736        1.80873                 NaN
  11.4000        115.000        31.7545        62.3035        3.17987        49.6712        2.29443        17.2002        100.000        3.17987        1.77393                 NaN
  11.5000        116.000        31.8244        62.2738        3.16743        49.7018        2.28152        17.1768        100.000        3.16743        1.74869       0.101744E-001
  11.6000        117.000        31.8575        62.2401        3.24047        49.7455        2.35405        17.1093        100.000        3.24047        1.78066       0.802885E-001
  11.7000        118.000        31.8691        62.1956        3.24261        49.7587        2.35525        17.0301        100.000        3.24261        1.79848       0.134303     
  11.8000        119.000        31.9143        62.1499        3.26397        49.7857        2.37583        16.9507        100.000        3.26397        1.81218       0.184759     
  11.9000        120.000        31.9353        62.1049        3.28355        49.8130        2.39458        16.8719        100.000        3.28355        1.83078       0.240030     
  12.0000        121.000        31.9556        62.0623        3.31587        49.8319        2.42609        16.7871        100.000        3.31587        1.85752       0.303912     
  12.1000        122.000        31.9741        62.0157        3.33314        49.8572        2.44245        16.7060        100.000        3.33314        1.87753       0.360452     
  12.2000        123.000        31.9944        61.9741        3.35364        49.8765        2.46209        16.6321        100.000        3.35364        1.89917       0.418575     
  12.3000        124.000        32.0191        61.9297        3.39082        49.9063        2.49844        16.5501        100.000        3.39082        1.92642       0.483016     
  12.4000        125.000        32.0345        61.8857        3.39473        49.9220        2.50139        16.4768        100.000        3.39473        1.94213       0.534892     
  12.5000        126.000        32.0594        61.8441        3.45334        49.9564        2.55918        16.3973        100.000        3.45334        1.98073       0.610960     
  12.6000        127.000        32.0601        61.7977        3.47628        49.9824        2.58113        16.3158        100.000        3.47628        2.01127       0.678143     
  12.7000        128.000        32.0811        61.7531        3.51066        50.0007        2.61461        16.2285        100.000        3.51066        2.04068       0.744594     
  12.8000        129.000        32.0986        61.7064        3.51839        50.0265        2.62140        16.1547        100.000        3.51839        2.05730       0.797397     
  12.9000        130.000        32.1237        61.6641        3.56409        50.0485        2.66623        16.0723        100.000        3.56409        2.08960       0.866921     
  13.0000        131.000        32.1414        61.6167        3.56881        50.0735        2.66996        15.9989        100.000        3.56881        2.10564       0.919075     
  13.1000        132.000        32.1712        61.5738        3.61011        50.1061        2.71038        15.9251        100.000        3.61011        2.13503       0.985618     
  13.2000        133.000        32.2072        61.5262        3.60031        50.1194        2.69961        15.8518        100.000        3.60031        2.13984        1.02616     
  13.3000        134.000        32.2227        61.4888        3.64283        50.1579        2.74133        15.7943        100.000        3.64283        2.16957        1.09263     
  13.4000        135.000        32.2558        61.4420        3.66978        50.1755        2.76733        15.7090        100.000        3.66978        2.19224        1.15215     
  13.5000        136.000        32.2637        61.3987        3.69577        50.2065        2.79235        15.6414        100.000        3.69577        2.22094        1.21724     
  13.6000        137.000        32.2904        61.3530        3.74350        50.2373        2.83916        15.5584        100.000        3.74350        2.25634        1.28985     
  13.7000        138.000        32.3031        61.3064        3.73756        50.2527        2.83219        15.4873        100.000        3.73756        2.26879        1.33814     
  13.8000        139.000        32.3369        61.2661        3.76913        50.2885        2.86291        15.4290        100.000        3.76913        2.29109        1.39703     
  13.9000        140.000        32.3546        61.2211        3.82049        50.3210        2.91333        15.3469        100.000        3.82049        2.32794        1.47130     
  14.0000        141.000        32.3776        61.1714        3.81128        50.3417        2.90305        15.2761        100.000        3.81128        2.33800        1.51718     
  14.1000        142.000        32.3934        61.1327        3.88454        50.3742        2.97545        15.2000        100.000        3.88454        2.38547        1.60230     
  14.2000        143.000        32.4080        61.0821        3.88152        50.3971        2.97133        15.1252        100.000        3.88152        2.40165        1.65459     
  14.3000        144.000        32.4361        61.0396        3.93113        50.4225        3.02005        15.0473        100.000        3.93113        2.43545        1.72549     
  14.4000        145.000        32.4484        60.9929        3.94373        50.4507        3.03161        14.9783        100.000        3.94373        2.45814        1.78445     
  14.5000        146.000        32.4681        60.9525        3.97973        50.4871        3.06670        14.9200        100.000        3.97973        2.48926        1.85219     
  14.6000        147.000        32.4945        60.9046        4.01806        50.5171        3.10407        14.8381        100.000        4.01806        2.51828        1.91837     
  14.7000        148.000        32.5144        60.8593        4.02283        50.5365        3.10777        14.7721        100.000        4.02283        2.53674        1.97302     
  14.8000        149.000        32.5292        60.8175        4.09369        50.5750        3.17774        14.6956        100.000        4.09369        2.58318        2.05705     
  14.9000        150.000        32.5440        60.7644        4.11147        50.5982        3.19440        14.6068        100.000        4.11147        2.61036        2.12106     
  15.0000        151.000        32.5690        60.7188        4.12646        50.6191        3.20837        14.5367        100.000        4.12646        2.63137        2.17854     
